################################################################################################################################
*
*  Information about the data is displayed as:
*
*     data size : <size>
*
*     line offset : <offset>
*
*     x data in column <column> : <label>
*                 :
*                 :
*
*     y data in column <column> : <label>
*                 :
*                 :
*
################################################################################################################################

data size : 7

line offset : 48

x data in column 0 : z

y data in column 1 : omegaM0
y data in column 2 : ns
y data in column 3 : growthIndex
y data in column 4 : a2Ga
y data in column 5 : d2Ga
y data in column 6 : a3GaA
y data in column 7 : a3GaB
y data in column 8 : d3GaA
y data in column 9 : d3GaB
y data in column 10 : b1
y data in column 11 : b2
y data in column 12 : bG2
y data in column 13 : bGam3
y data in column 14 : sigv
y data in column 15 : sigs
y data in column 16 : c0
y data in column 17 : c2
y data in column 18 : c4
y data in column 19 : V
y data in column 20 : n

================================================================================================================================

7.000000000000e-01 3.190000000000e-01 9.611000000000e-01 5.450000000000e-01 1.428571428571e+00 8.571428571428e-01 6.666666666667e-01 5.555555555556e-01 2.857142857142e-01 2.380952380952e-01 1.15000000000000e+00 -8.266666666667e-01 -5.000000000000e-02 8.460000000000e-02 4.810000000000e+00 1.000000000000e-03 -5.300000000000e+01 -2.100000000000e+01 1.870000000000e+02 5.700000000000e+00 1.980000000000e-03
9.000000000000e-01 3.190000000000e-01 9.611000000000e-01 5.450000000000e-01 1.428571428571e+00 8.571428571428e-01 6.666666666667e-01 5.555555555556e-01 2.857142857142e-01 2.380952380952e-01 1.26000000000000e+00 -8.490000000000e-01 -7.500000000000e-02 1.440000000000e-01 4.620000000000e+00 1.000000000000e-03 -5.300000000000e+01 -2.100000000000e+01 1.870000000000e+02 7.500000000000e+00 1.540000000000e-03
1.100000000000e+00 3.190000000000e-01 9.611000000000e-01 5.450000000000e-01 1.428571428571e+00 8.571428571428e-01 6.666666666667e-01 5.555555555556e-01 2.857142857142e-01 2.380952380952e-01 1.34000000000000e+00 -8.456666666667e-01 -9.500000000000e-02 1.870000000000e-01 4.390000000000e+00 1.000000000000e-03 -5.300000000000e+01 -2.100000000000e+01 1.870000000000e+02 8.950000000000e+00 8.920000000000e-04
1.300000000000e+00 3.190000000000e-01 9.611000000000e-01 5.450000000000e-01 1.428571428571e+00 8.571428571428e-01 6.666666666667e-01 5.555555555556e-01 2.857142857142e-01 2.380952380952e-01 1.42000000000000e+00 -8.400000000000e-01 -1.200000000000e-01 2.300000000000e-01 4.150000000000e+00 1.000000000000e-03 -5.300000000000e+01 -2.100000000000e+01 1.870000000000e+02 1.000000000000e+01 5.220000000000e-04
1.500000000000e+00 3.190000000000e-01 9.611000000000e-01 5.450000000000e-01 1.428571428571e+00 8.571428571428e-01 6.666666666667e-01 5.555555555556e-01 2.857142857142e-01 2.380952380952e-01 1.50000000000000e+00 -8.233333333333e-01 -1.450000000000e-01 2.740000000000e-01 3.920000000000e+00 1.000000000000e-03 -5.300000000000e+01 -2.100000000000e+01 1.870000000000e+02 1.080000000000e+01 2.740000000000e-04
1.700000000000e+00 3.190000000000e-01 9.611000000000e-01 5.450000000000e-01 1.428571428571e+00 8.571428571428e-01 6.666666666667e-01 5.555555555556e-01 2.857142857142e-01 2.380952380952e-01 1.58000000000000e+00 -7.870000000000e-01 -1.650000000000e-01 3.180000000000e-01 3.700000000000e+00 1.000000000000e-03 -5.300000000000e+01 -2.100000000000e+01 1.870000000000e+02 1.150000000000e+01 1.520000000000e-04
1.900000000000e+00 3.190000000000e-01 9.611000000000e-01 5.450000000000e-01 1.428571428571e+00 8.571428571428e-01 6.666666666667e-01 5.555555555556e-01 2.857142857142e-01 2.380952380952e-01 1.66000000000000e+00 -7.423333333333e-01 -1.900000000000e-01 3.620000000000e-01 3.490000000000e+00 1.000000000000e-03 -5.300000000000e+01 -2.100000000000e+01 1.870000000000e+02 1.260000000000e+01 8.940000000000e-05
